left_out,beta_dose,p_dose,k
Back2024,-0.06611005988616525,3.8092784490789306e-5,162
Bogenschutz2022,-0.09903906634013987,0.02365629749127841,86
CarhartHarris2021,-0.08991941786161509,3.635955057102295e-16,153
Goodwin2022,0.010115113537444254,0.6972221978428126,121
Luquiens2025,-0.0678781835140769,2.443926274708091e-5,162
Raison2023,-0.06688598283133948,3.381145868828913e-5,163
Rieser2025,-0.06675507397842384,3.581153067185633e-5,159
Ross2016,-0.06396755163931032,5.572449603467812e-5,161
VonRotz2023,-0.0664624791658727,3.6369590610045174e-5,161
