estimate,ci_lb,ci_ub,pval
-0.01875170009928245,-1.990967363519165,1.9534639633206,0.9851321126565423
1.0609599915615615,-0.6009527578673006,2.7228727409904234,0.2108487580775338
-0.01875170009928245,-1.990967363519165,1.9534639633206,0.9851321126565423
-0.01875170009928245,-1.990967363519165,1.9534639633206,0.9851321126565423
0.35352381416318923,-1.507870563154626,2.2149181914810048,0.7097107669721846
-0.01875170009928245,-1.990967363519165,1.9534639633206,0.9851321126565423
NA,NA,NA,NA
-0.01875170009928245,-1.990967363519165,1.9534639633206,0.9851321126565423
1.4409538682660132,-0.17541323384362495,3.0573209703756516,0.0805918081448678
2.0729879059070884,0.7566624094614665,3.3893134023527103,0.002024539581730471
1.4373794083124272,-0.1789351794219345,3.053693996046789,0.08133625762870815
NA,NA,NA,NA
0.4642761257636457,-1.0400886371720033,1.9686408886992945,0.5452568214082305
0.3535238141631896,-1.507870563154627,2.214918191481006,0.7097107669721845
-0.01875170009928245,-1.990967363519165,1.9534639633206,0.9851321126565423
2.653982979831934,1.1423509150462825,4.165615044617585,5.793062737408145e-4
-0.01875170009928245,-1.990967363519165,1.9534639633206,0.9851321126565423
0.3563934795937728,-1.505043652979191,2.2178306121667366,0.7074689147784747
2.370700523957032,1.2952590971759799,3.4461419507380837,1.556478750364675e-5
-0.01875170009928245,-1.990967363519165,1.9534639633206,0.9851321126565423
0.9002200020046915,-0.7861105378847666,2.58655054189415,0.29542497091530984
NA,NA,NA,NA
0.8388731020338005,-0.9004856467580282,2.5782318508256292,0.3445218063987757
0.7902763936330137,-0.6297476438509169,2.210300431116944,0.2753760683874146
NA,NA,NA,NA
-0.01875170009928245,-1.990967363519165,1.9534639633206,0.9851321126565423
-0.01875170009928245,-1.990967363519165,1.9534639633206,0.9851321126565423
0.35352381416318923,-1.507870563154626,2.2149181914810048,0.7097107669721846
0.35352381416318923,-1.507870563154626,2.2149181914810048,0.7097107669721846
1.5963171073427422,0.5573899884716358,2.6352442262138487,0.0025996450729486426
-0.28347772503126223,-1.804547221188102,1.2375917711255777,0.7149073789749563
0.6043019856236972,-0.5319407651850997,1.740544736432494,0.2972300661285858
1.0673657246008708,-0.06270969840472707,2.197441147606469,0.06414043511942856
NA,NA,NA,NA
0.5496772855164663,-0.8445607830730698,1.9439153541060024,0.43969148620395665
2.4721711164196667,1.3811021569898687,3.563240075849465,8.95688404661103e-6
0.7812090916308784,-0.2302810507818568,1.7926992340436136,0.13008963936918785
NA,NA,NA,NA
0.7313932222504895,-0.5496423483044093,2.0124287928053883,0.2631316234732361
0.32008273932774584,-1.0859585858051382,1.72612406446063,0.6554656245008321
0.4553944457606597,-0.5938020984047533,1.5045909899260725,0.3949332628280211
0.6811065891143511,-0.6445863678771342,2.006799546105836,0.3139450775700336
0.07448423444696806,-1.3650892058841417,1.5140576747780778,0.9192253986776544
-1.3696040029194045,-3.2670546440762873,0.5278466382374782,0.1571485755887108
NA,NA,NA,NA
NA,NA,NA,NA
-0.43450037363478694,-1.9735612694092735,1.1045605221396995,0.5800390108781028
0.3640418801815308,-1.0427852437527108,1.7708690041157724,0.612031322818297
1.343769507643858,0.6027991488018339,2.084739866485882,3.7877490478331003e-4
0.07448423444696806,-1.3650892058841417,1.5140576747780778,0.9192253986776544
-0.6076625644137126,-2.1714480992466356,0.9561229704192102,0.44629202593093426
